frequency_hz,level_dbv_power_mean,supply,input_condition
20.290907,-103.460874,tiresias_avdd,no_input
20.885476,-104.363000,tiresias_avdd,no_input
21.497467,-103.920309,tiresias_avdd,no_input
22.127391,-106.159542,tiresias_avdd,no_input
22.775773,-103.307746,tiresias_avdd,no_input
23.443154,-101.660000,tiresias_avdd,no_input
24.130091,-103.621998,tiresias_avdd,no_input
24.837156,-105.965782,tiresias_avdd,no_input
25.564940,-103.651857,tiresias_avdd,no_input
26.314050,-102.880784,tiresias_avdd,no_input
27.085111,-104.744619,tiresias_avdd,no_input
27.878765,-104.433880,tiresias_avdd,no_input
28.695675,-104.402959,tiresias_avdd,no_input
29.536523,-103.415247,tiresias_avdd,no_input
30.402009,-106.396392,tiresias_avdd,no_input
31.292856,-106.032557,tiresias_avdd,no_input
32.209807,-103.659961,tiresias_avdd,no_input
33.153626,-105.240825,tiresias_avdd,no_input
34.125101,-105.417028,tiresias_avdd,no_input
35.125043,-105.265084,tiresias_avdd,no_input
36.154286,-106.157391,tiresias_avdd,no_input
37.213687,-105.235369,tiresias_avdd,no_input
38.304131,-106.697541,tiresias_avdd,no_input
39.426528,-106.760386,tiresias_avdd,no_input
40.581813,-105.586041,tiresias_avdd,no_input
41.770951,-103.515092,tiresias_avdd,no_input
42.994934,-105.231638,tiresias_avdd,no_input
44.254781,-107.649027,tiresias_avdd,no_input
45.551545,-106.380813,tiresias_avdd,no_input
46.886308,-106.183082,tiresias_avdd,no_input
48.260181,-105.362019,tiresias_avdd,no_input
49.674312,-107.251899,tiresias_avdd,no_input
51.129881,-105.375346,tiresias_avdd,no_input
52.628101,-109.002169,tiresias_avdd,no_input
54.170222,-106.091380,tiresias_avdd,no_input
55.757531,-109.131490,tiresias_avdd,no_input
57.391351,-109.889458,tiresias_avdd,no_input
59.073046,-104.872652,tiresias_avdd,no_input
60.804018,-103.786673,tiresias_avdd,no_input
62.585712,-106.052846,tiresias_avdd,no_input
64.419613,-105.875066,tiresias_avdd,no_input
66.307252,-105.984506,tiresias_avdd,no_input
68.250203,-108.201039,tiresias_avdd,no_input
70.250086,-108.896076,tiresias_avdd,no_input
72.308571,-107.964814,tiresias_avdd,no_input
74.427374,-108.440205,tiresias_avdd,no_input
76.608262,-107.458970,tiresias_avdd,no_input
78.853056,-107.160730,tiresias_avdd,no_input
81.163627,-106.911319,tiresias_avdd,no_input
83.541903,-106.229149,tiresias_avdd,no_input
85.989867,-108.116733,tiresias_avdd,no_input
88.509563,-107.936781,tiresias_avdd,no_input
91.103091,-107.346955,tiresias_avdd,no_input
93.772615,-107.808205,tiresias_avdd,no_input
96.520362,-107.813797,tiresias_avdd,no_input
99.348625,-108.340736,tiresias_avdd,no_input
102.259762,-109.957952,tiresias_avdd,no_input
105.256202,-108.615979,tiresias_avdd,no_input
108.340444,-107.153145,tiresias_avdd,no_input
111.515061,-109.933790,tiresias_avdd,no_input
114.782702,-110.554998,tiresias_avdd,no_input
118.146092,-101.989656,tiresias_avdd,no_input
121.608036,-101.314616,tiresias_avdd,no_input
125.171424,-108.311251,tiresias_avdd,no_input
128.839227,-109.476867,tiresias_avdd,no_input
132.614504,-109.571922,tiresias_avdd,no_input
136.500406,-108.643510,tiresias_avdd,no_input
140.500173,-109.203479,tiresias_avdd,no_input
144.617142,-109.311402,tiresias_avdd,no_input
148.854748,-110.107002,tiresias_avdd,no_input
153.216525,-109.181905,tiresias_avdd,no_input
157.706112,-108.762786,tiresias_avdd,no_input
162.327254,-108.675215,tiresias_avdd,no_input
167.083805,-109.057715,tiresias_avdd,no_input
171.979734,-108.640047,tiresias_avdd,no_input
177.019125,-109.388069,tiresias_avdd,no_input
182.206182,-108.842178,tiresias_avdd,no_input
187.545230,-108.512286,tiresias_avdd,no_input
193.040725,-107.607441,tiresias_avdd,no_input
198.697250,-109.133080,tiresias_avdd,no_input
204.519524,-109.970072,tiresias_avdd,no_input
210.512403,-109.574611,tiresias_avdd,no_input
216.680888,-109.178552,tiresias_avdd,no_input
223.030122,-108.738713,tiresias_avdd,no_input
229.565404,-110.393351,tiresias_avdd,no_input
236.292183,-107.237028,tiresias_avdd,no_input
243.216073,-103.751615,tiresias_avdd,no_input
250.342848,-108.107570,tiresias_avdd,no_input
257.678453,-108.725343,tiresias_avdd,no_input
265.229008,-108.776713,tiresias_avdd,no_input
273.000811,-109.315487,tiresias_avdd,no_input
281.000346,-109.408767,tiresias_avdd,no_input
289.234284,-109.167529,tiresias_avdd,no_input
297.709496,-108.762318,tiresias_avdd,no_input
306.433050,-108.681914,tiresias_avdd,no_input
315.412224,-109.689932,tiresias_avdd,no_input
324.654507,-109.917082,tiresias_avdd,no_input
334.167610,-109.336230,tiresias_avdd,no_input
343.959469,-109.048654,tiresias_avdd,no_input
354.038251,-108.031941,tiresias_avdd,no_input
364.412363,-105.393435,tiresias_avdd,no_input
375.090460,-109.054682,tiresias_avdd,no_input
386.081450,-109.518198,tiresias_avdd,no_input
397.394500,-109.419616,tiresias_avdd,no_input
409.039048,-109.747969,tiresias_avdd,no_input
421.024807,-109.419370,tiresias_avdd,no_input
433.361775,-109.320197,tiresias_avdd,no_input
446.060244,-109.006155,tiresias_avdd,no_input
459.130807,-108.977657,tiresias_avdd,no_input
472.584367,-108.316068,tiresias_avdd,no_input
486.432146,-106.470858,tiresias_avdd,no_input
500.685695,-109.023852,tiresias_avdd,no_input
515.356906,-109.129944,tiresias_avdd,no_input
530.458016,-108.773001,tiresias_avdd,no_input
546.001623,-109.225081,tiresias_avdd,no_input
562.000691,-109.186568,tiresias_avdd,no_input
578.468569,-109.688822,tiresias_avdd,no_input
