profile,category,hl_250,hl_375,hl_500,hl_750,hl_1000,hl_1500,hl_2000,hl_3000,hl_4000,hl_6000
N1,Very mild,10,10,10,10,10,10,15,20,30,40
N2,Mild,20,20,20,22.5,25,30,35,40,45,50
N3,Moderate,35,35,35,35,40,45,50,55,60,65
N4,Moderate/severe,55,55,55,55,55,60,65,70,75,80
N5,Severe,65,67.5,70,72.5,75,80,80,80,80,80
N6,Severe,75,77.5,80,82.5,85,90,90,95,100,100
N7,Profound,90,92.5,95,100,105,105,105,105,105,105
S1,Very mild,10,10,10,10,10,10,15,30,55,70
S2,Mild,20,20,20,22.5,25,35,55,75,95,95
S3,Moderate/severe,30,30,35,47.5,60,70,75,80,80,85
