profile,ear,band,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,gain_db,output_level_db_spl
N1,left,1,177.0000,0.0000,229.2793,-10.0,2.980938,-7.019062
N1,left,1,177.0000,0.0000,229.2793,-9.0,2.980938,-6.019062
N1,left,1,177.0000,0.0000,229.2793,-8.0,2.980938,-5.019062
N1,left,1,177.0000,0.0000,229.2793,-7.0,2.980938,-4.019062
N1,left,1,177.0000,0.0000,229.2793,-6.0,2.980938,-3.019062
N1,left,1,177.0000,0.0000,229.2793,-5.0,2.980938,-2.019062
N1,left,1,177.0000,0.0000,229.2793,-4.0,2.980938,-1.019062
N1,left,1,177.0000,0.0000,229.2793,-3.0,2.980938,-0.019062
N1,left,1,177.0000,0.0000,229.2793,-2.0,2.980938,0.980938
N1,left,1,177.0000,0.0000,229.2793,-1.0,2.980938,1.980938
N1,left,1,177.0000,0.0000,229.2793,0.0,2.980938,2.980938
N1,left,1,177.0000,0.0000,229.2793,1.0,2.980938,3.980938
N1,left,1,177.0000,0.0000,229.2793,2.0,2.980938,4.980938
N1,left,1,177.0000,0.0000,229.2793,3.0,2.980938,5.980938
N1,left,1,177.0000,0.0000,229.2793,4.0,2.980938,6.980938
N1,left,1,177.0000,0.0000,229.2793,5.0,2.980938,7.980938
N1,left,1,177.0000,0.0000,229.2793,6.0,2.980938,8.980938
N1,left,1,177.0000,0.0000,229.2793,7.0,2.980938,9.980938
N1,left,1,177.0000,0.0000,229.2793,8.0,2.980938,10.980938
N1,left,1,177.0000,0.0000,229.2793,9.0,2.980938,11.980938
N1,left,1,177.0000,0.0000,229.2793,10.0,2.980938,12.980938
N1,left,1,177.0000,0.0000,229.2793,11.0,2.980938,13.980938
N1,left,1,177.0000,0.0000,229.2793,12.0,2.980938,14.980938
N1,left,1,177.0000,0.0000,229.2793,13.0,2.980938,15.980938
N1,left,1,177.0000,0.0000,229.2793,14.0,2.980938,16.980938
N1,left,1,177.0000,0.0000,229.2793,15.0,2.980938,17.980938
N1,left,1,177.0000,0.0000,229.2793,16.0,2.980938,18.980938
N1,left,1,177.0000,0.0000,229.2793,17.0,2.980938,19.980938
N1,left,1,177.0000,0.0000,229.2793,18.0,2.980938,20.980938
N1,left,1,177.0000,0.0000,229.2793,19.0,2.980938,21.980938
N1,left,1,177.0000,0.0000,229.2793,20.0,2.980938,22.980938
N1,left,1,177.0000,0.0000,229.2793,21.0,2.980938,23.980938
N1,left,1,177.0000,0.0000,229.2793,22.0,2.980938,24.980938
N1,left,1,177.0000,0.0000,229.2793,23.0,2.980938,25.980938
N1,left,1,177.0000,0.0000,229.2793,24.0,2.980938,26.980938
N1,left,1,177.0000,0.0000,229.2793,25.0,2.980938,27.980938
N1,left,1,177.0000,0.0000,229.2793,26.0,2.980938,28.980938
N1,left,1,177.0000,0.0000,229.2793,27.0,2.980938,29.980938
N1,left,1,177.0000,0.0000,229.2793,28.0,2.980938,30.980938
N1,left,1,177.0000,0.0000,229.2793,29.0,2.980938,31.980938
N1,left,1,177.0000,0.0000,229.2793,30.0,2.980938,32.980938
N1,left,1,177.0000,0.0000,229.2793,31.0,2.980938,33.980938
N1,left,1,177.0000,0.0000,229.2793,32.0,2.980938,34.980938
N1,left,1,177.0000,0.0000,229.2793,33.0,2.980938,35.980938
N1,left,1,177.0000,0.0000,229.2793,34.0,2.980938,36.980938
N1,left,1,177.0000,0.0000,229.2793,35.0,2.980938,37.980938
N1,left,1,177.0000,0.0000,229.2793,36.0,2.980938,38.980938
N1,left,1,177.0000,0.0000,229.2793,37.0,2.980938,39.980938
N1,left,1,177.0000,0.0000,229.2793,38.0,2.980938,40.980938
N1,left,1,177.0000,0.0000,229.2793,39.0,2.839156,41.839156
N1,left,1,177.0000,0.0000,229.2793,40.0,2.697374,42.697374
N1,left,1,177.0000,0.0000,229.2793,41.0,2.555592,43.555592
N1,left,1,177.0000,0.0000,229.2793,42.0,2.413810,44.413810
N1,left,1,177.0000,0.0000,229.2793,43.0,2.272027,45.272027
N1,left,1,177.0000,0.0000,229.2793,44.0,2.130245,46.130245
N1,left,1,177.0000,0.0000,229.2793,45.0,1.988463,46.988463
N1,left,1,177.0000,0.0000,229.2793,46.0,1.846681,47.846681
N1,left,1,177.0000,0.0000,229.2793,47.0,1.704899,48.704899
N1,left,1,177.0000,0.0000,229.2793,48.0,1.563117,49.563117
N1,left,1,177.0000,0.0000,229.2793,49.0,1.421335,50.421335
N1,left,1,177.0000,0.0000,229.2793,50.0,1.279552,51.279552
N1,left,1,177.0000,0.0000,229.2793,51.0,1.137770,52.137770
