profile,ear,band,active_prescription,edge_low_hz,edge_high_hz,centre_hz,noise_gate_knee_db_spl,camfit_compression_ratio,gain_at_45_db_spl,gain_at_65_db_spl,gain_at_85_db_spl,limiter_input_knee_db_spl,maximum_output_db_spl,attack_ms,release_ms,rms_level_time_constant_ms,implementation_note
N1,left,1,True,0.0000,229.2793,177.0000,38,1.165205,1.988463,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,2,True,229.2793,385.3570,297.0000,38,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,3,True,385.3570,648.4597,500.0000,36,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,4,True,648.4597,1090.5000,841.0000,37,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,5,True,1090.5000,1833.7000,1414.0000,32,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,6,True,1833.7000,3084.2000,2378.0000,26,1.000000,4.905859,4.905859,4.905859,96.0,100,20,100,100,CAMFIT table
N1,left,7,True,3084.2000,5187.3000,4000.0000,23,1.116326,14.320828,12.236734,10.152641,91.0,100,20,100,100,CAMFIT table
N1,left,8,True,5187.3000,8724.1000,6727.0000,22,2.503022,18.782510,6.772852,0.000000,100.0,100,20,100,100,CAMFIT table
N1,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N1,right,1,True,0.0000,229.2793,177.0000,38,1.165205,1.988463,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,2,True,229.2793,385.3570,297.0000,38,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,3,True,385.3570,648.4597,500.0000,36,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,4,True,648.4597,1090.5000,841.0000,37,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,5,True,1090.5000,1833.7000,1414.0000,32,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,6,True,1833.7000,3084.2000,2378.0000,26,1.000000,4.905859,4.905859,4.905859,96.0,100,20,100,100,CAMFIT table
N1,right,7,True,3084.2000,5187.3000,4000.0000,23,1.116326,14.320828,12.236734,10.152641,91.0,100,20,100,100,CAMFIT table
N1,right,8,True,5187.3000,8724.1000,6727.0000,22,2.503022,18.782510,6.772852,0.000000,100.0,100,20,100,100,CAMFIT table
N1,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N2,left,1,True,0.0000,229.2793,177.0000,38,1.680503,5.679194,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N2,left,2,True,229.2793,385.3570,297.0000,38,1.295743,3.202330,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N2,left,3,True,385.3570,648.4597,500.0000,36,1.014064,1.811814,1.534443,1.257072,99.0,100,20,100,100,CAMFIT table
N2,left,4,True,648.4597,1090.5000,841.0000,37,1.012534,7.797332,7.549764,7.302197,93.0,100,20,100,100,CAMFIT table
N2,left,5,True,1090.5000,1833.7000,1414.0000,32,1.179169,14.101492,11.062588,8.023684,94.0,100,20,100,100,CAMFIT table
N2,left,6,True,1833.7000,3084.2000,2378.0000,26,1.223245,18.287691,14.637649,10.987608,90.0,100,20,100,100,CAMFIT table
N2,left,7,True,3084.2000,5187.3000,4000.0000,23,1.448158,21.364873,15.175517,8.986160,94.0,100,20,100,100,CAMFIT table
N2,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,26.465333,13.307438,0.149543,100.0,100,20,100,100,CAMFIT table
N2,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
