profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,1,True,177.0000,0.0000,229.2793,-10.0,2.980938,-7.019062,-110.000000,-107.019062,-127.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-9.0,2.980938,-6.019062,-109.000000,-106.019062,-126.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-8.0,2.980938,-5.019062,-108.000000,-105.019062,-125.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-7.0,2.980938,-4.019062,-107.000000,-104.019062,-124.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-6.0,2.980938,-3.019062,-106.000000,-103.019062,-123.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-5.0,2.980938,-2.019062,-105.000000,-102.019062,-122.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-4.0,2.980938,-1.019062,-104.000000,-101.019062,-121.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-3.0,2.980938,-0.019062,-103.000000,-100.019062,-120.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-2.0,2.980938,0.980938,-102.000000,-99.019062,-119.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,-1.0,2.980938,1.980938,-101.000000,-98.019062,-118.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,0.0,2.980938,2.980938,-100.000000,-97.019062,-117.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,1.0,2.980938,3.980938,-99.000000,-96.019062,-116.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,2.0,2.980938,4.980938,-98.000000,-95.019062,-115.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,3.0,2.980938,5.980938,-97.000000,-94.019062,-114.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,4.0,2.980938,6.980938,-96.000000,-93.019062,-113.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,5.0,2.980938,7.980938,-95.000000,-92.019062,-112.019062,-20.000000,False
N1,left,1,True,177.0000,0.0000,229.2793,6.0,2.980938,8.980938,-94.000000,-91.019062,-111.019062,-20.000000,False
